date, value
1992-02-14 00:00:00, 88.32
1992-02-17 00:00:00, 88.23
1992-02-18 00:00:00, 89.06
1992-02-19 00:00:00, 89.05
1992-02-20 00:00:00, 89.09
1992-02-21 00:00:00, 89.65
1992-02-24 00:00:00, 89.44
1992-02-25 00:00:00, 89.75
1992-02-26 00:00:00, 89.2
1992-02-27 00:00:00, 88.72
1992-02-28 00:00:00, 88.99
1992-03-02 00:00:00, 89.19
1992-03-03 00:00:00, 89.96
1992-03-04 00:00:00, 90.53
1992-03-05 00:00:00, 90.69
1992-03-06 00:00:00, 90.48
1992-03-09 00:00:00, 90.26
1992-03-10 00:00:00, 90.72
1992-03-11 00:00:00, 90.35
1992-03-12 00:00:00, 90.83
1992-03-13 00:00:00, 90.84
1992-03-16 00:00:00, 90.51
1992-03-17 00:00:00, 89.76
1992-03-18 00:00:00, 89.99
1992-03-19 00:00:00, 90.91
1992-03-20 00:00:00, 90.94
1992-03-23 00:00:00, 90.68
1992-03-24 00:00:00, 90.54
1992-03-25 00:00:00, 90.0
1992-03-26 00:00:00, 90.52
1992-03-27 00:00:00, 89.56
1992-03-30 00:00:00, 89.81
1992-03-31 00:00:00, 89.65
1992-04-01 00:00:00, 90.22
1992-04-02 00:00:00, 89.85
1992-04-03 00:00:00, 89.09
1992-04-06 00:00:00, 89.02
1992-04-07 00:00:00, 88.84
1992-04-08 00:00:00, 88.99
1992-04-09 00:00:00, 88.48
1992-04-10 00:00:00, 89.25
1992-04-13 00:00:00, 89.78
1992-04-14 00:00:00, 89.78
1992-04-15 00:00:00, 90.12
1992-04-16 00:00:00, 90.51
1992-04-20 00:00:00, 90.51
1992-04-21 00:00:00, 90.5
1992-04-22 00:00:00, 90.21
1992-04-23 00:00:00, 90.28
1992-04-24 00:00:00, 89.79
1992-04-27 00:00:00, 89.78
1992-04-28 00:00:00, 89.75
1992-04-29 00:00:00, 89.93
1992-04-30 00:00:00, 89.62
1992-05-01 00:00:00, 89.12
1992-05-04 00:00:00, 89.45
1992-05-05 00:00:00, 89.04
1992-05-06 00:00:00, 88.67
1992-05-07 00:00:00, 88.92
1992-05-08 00:00:00, 89.39
1992-05-11 00:00:00, 89.15
1992-05-12 00:00:00, 88.29
1992-05-13 00:00:00, 87.59
1992-05-14 00:00:00, 87.94
1992-05-15 00:00:00, 87.63
1992-05-18 00:00:00, 86.91
1992-05-19 00:00:00, 86.75
1992-05-20 00:00:00, 87.27
1992-05-21 00:00:00, 87.96
1992-05-22 00:00:00, 87.9
1992-05-26 00:00:00, 87.65
1992-05-27 00:00:00, 88.83
1992-05-28 00:00:00, 88.27
1992-05-29 00:00:00, 87.22
1992-06-01 00:00:00, 87.1
1992-06-02 00:00:00, 87.34
1992-06-03 00:00:00, 87.26
1992-06-04 00:00:00, 87.08
1992-06-05 00:00:00, 86.58
1992-06-08 00:00:00, 86.57
1992-06-09 00:00:00, 86.72
1992-06-10 00:00:00, 86.78
1992-06-11 00:00:00, 86.01
1992-06-12 00:00:00, 85.97
1992-06-15 00:00:00, 85.72
1992-06-16 00:00:00, 85.44
1992-06-17 00:00:00, 85.95
1992-06-18 00:00:00, 85.61
1992-06-19 00:00:00, 85.91
1992-06-22 00:00:00, 85.58
1992-06-23 00:00:00, 85.57
1992-06-24 00:00:00, 84.9
1992-06-25 00:00:00, 84.28
1992-06-26 00:00:00, 84.13
1992-06-29 00:00:00, 83.62
1992-06-30 00:00:00, 83.72
1992-07-01 00:00:00, 83.64
1992-07-02 00:00:00, 83.1
1992-07-06 00:00:00, 83.13
1992-07-07 00:00:00, 82.15
1992-07-08 00:00:00, 82.32
1992-07-09 00:00:00, 83.32
1992-07-10 00:00:00, 82.62
1992-07-13 00:00:00, 81.84
1992-07-14 00:00:00, 82.18
1992-07-15 00:00:00, 82.07
1992-07-16 00:00:00, 81.75
1992-07-17 00:00:00, 81.04
1992-07-20 00:00:00, 82.54
1992-07-21 00:00:00, 82.41
1992-07-22 00:00:00, 82.44
1992-07-23 00:00:00, 82.34
1992-07-24 00:00:00, 83.18
1992-07-27 00:00:00, 82.23
1992-07-28 00:00:00, 81.83
1992-07-29 00:00:00, 82.22
1992-07-30 00:00:00, 81.98
1992-07-31 00:00:00, 81.91
1992-08-03 00:00:00, 81.9
1992-08-04 00:00:00, 82.03
1992-08-05 00:00:00, 82.3
1992-08-06 00:00:00, 82.15
1992-08-07 00:00:00, 81.65
1992-08-10 00:00:00, 81.61
1992-08-11 00:00:00, 81.75
1992-08-12 00:00:00, 81.61
1992-08-13 00:00:00, 81.3
1992-08-14 00:00:00, 81.66
1992-08-17 00:00:00, 81.58
1992-08-18 00:00:00, 81.33
1992-08-19 00:00:00, 81.19
1992-08-20 00:00:00, 80.92
1992-08-21 00:00:00, 80.16
1992-08-24 00:00:00, 78.94
1992-08-25 00:00:00, 78.87
1992-08-26 00:00:00, 79.21
1992-08-27 00:00:00, 79.31
1992-08-28 00:00:00, 79.17
1992-08-31 00:00:00, 78.88
1992-09-01 00:00:00, 78.33
1992-09-02 00:00:00, 78.41
1992-09-03 00:00:00, 79.4
1992-09-04 00:00:00, 78.82
1992-09-08 00:00:00, 78.49
1992-09-09 00:00:00, 79.46
1992-09-10 00:00:00, 79.74
1992-09-11 00:00:00, 80.65
1992-09-14 00:00:00, 82.9
1992-09-15 00:00:00, 83.39
1992-09-16 00:00:00, 84.33
1992-09-17 00:00:00, 83.64
1992-09-18 00:00:00, 84.73
1992-09-21 00:00:00, 84.42
1992-09-22 00:00:00, 84.69
1992-09-23 00:00:00, 84.45
1992-09-24 00:00:00, 84.07
1992-09-25 00:00:00, 83.85
1992-09-28 00:00:00, 82.69
1992-09-29 00:00:00, 81.0
1992-09-30 00:00:00, 81.1
1992-10-01 00:00:00, 81.79
1992-10-02 00:00:00, 81.36
1992-10-05 00:00:00, 82.4
1992-10-06 00:00:00, 82.62
1992-10-07 00:00:00, 83.28
1992-10-08 00:00:00, 84.87
1992-10-09 00:00:00, 84.81
1992-10-12 00:00:00, 83.98
1992-10-13 00:00:00, 83.81
1992-10-14 00:00:00, 83.75
1992-10-15 00:00:00, 83.53
1992-10-16 00:00:00, 84.56
1992-10-19 00:00:00, 85.5
1992-10-20 00:00:00, 86.46
1992-10-21 00:00:00, 86.63
1992-10-22 00:00:00, 85.93
1992-10-23 00:00:00, 86.8
1992-10-26 00:00:00, 87.25
1992-10-27 00:00:00, 87.01
1992-10-28 00:00:00, 87.66
1992-10-29 00:00:00, 87.33
1992-10-30 00:00:00, 87.63
1992-11-02 00:00:00, 88.84
1992-11-03 00:00:00, 88.55
1992-11-04 00:00:00, 88.64
1992-11-05 00:00:00, 89.21
1992-11-06 00:00:00, 89.92
1992-11-09 00:00:00, 90.19
1992-11-10 00:00:00, 89.8
1992-11-11 00:00:00, 89.62
1992-11-12 00:00:00, 89.44
1992-11-13 00:00:00, 88.97
1992-11-16 00:00:00, 90.04
1992-11-17 00:00:00, 90.0
1992-11-18 00:00:00, 89.86
1992-11-19 00:00:00, 89.56
1992-11-20 00:00:00, 91.12
1992-11-23 00:00:00, 90.87
1992-11-24 00:00:00, 90.68
1992-11-25 00:00:00, 90.41
1992-11-26 00:00:00, 90.75
1992-11-27 00:00:00, 91.11
1992-11-30 00:00:00, 90.83
1992-12-01 00:00:00, 90.11
1992-12-02 00:00:00, 90.03
1992-12-03 00:00:00, 90.15
1992-12-04 00:00:00, 90.56
1992-12-07 00:00:00, 88.97
1992-12-08 00:00:00, 89.13
1992-12-09 00:00:00, 89.89
1992-12-10 00:00:00, 90.15
1992-12-11 00:00:00, 90.13
1992-12-14 00:00:00, 89.71
1992-12-15 00:00:00, 89.78
1992-12-16 00:00:00, 89.33
1992-12-17 00:00:00, 89.37
1992-12-18 00:00:00, 89.68
1992-12-21 00:00:00, 89.83
1992-12-22 00:00:00, 90.75
1992-12-23 00:00:00, 91.05
1992-12-24 00:00:00, 91.18
1992-12-25 00:00:00, 91.14
1992-12-28 00:00:00, 92.16
1992-12-29 00:00:00, 92.15
1992-12-30 00:00:00, 92.17
1992-12-31 00:00:00, 92.36
1993-01-04 00:00:00, 93.46
1993-01-05 00:00:00, 92.64
1993-01-06 00:00:00, 93.07
1993-01-07 00:00:00, 93.17
1993-01-08 00:00:00, 93.45
1993-01-11 00:00:00, 92.69
1993-01-12 00:00:00, 92.89
1993-01-13 00:00:00, 92.62
1993-01-14 00:00:00, 92.61
1993-01-15 00:00:00, 93.04
1993-01-18 00:00:00, 92.06
1993-01-19 00:00:00, 92.0
1993-01-20 00:00:00, 91.55
